stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
"1737582811","2020-10-13 12:20:18","How SuperRare Uses Ethereum To Make A Market For Art","http://feeds.benzinga.com/~r/benzinga/~3/P-15IgVAhmI/how-superrare-uses-ethereum-to-make-a-market-for-art","en","False","","22041","Benzinga","http://www.benzinga.com"
"1751635348","2020-10-27 15:26:00","How blockchain technology reached Christie's and changed the art world along the way","https://www.nbcnews.com/tech/tech-news/how-blockchain-technology-reached-christie-s-changed-art-world-along-n1244951","en","False","","34663","NBC Breaking News","http://www.breakingnews.com#spider"
"1772079810","2020-11-17 09:00:00","Enjoy the Futility of Existence with David OReilly's Latest Interactive Art","https://www.vice.com/en_us/article/n7vnqw/david-oreilly-you-are-here-crypto-auction","en","False","","300613","VICE","http://www.vice.com/en_us"
"1810246086","2020-12-29 11:47:24","Photographer JN Silva And Artist ThankYouX Team Up For Digital Art Drop Using Blockchain","http://feeds.benzinga.com/~r/benzinga/~3/44EhGu-PqMY/photographer-jn-silva-and-artist-thankyoux-team-up-for-digital-art-drop-using-blockchain","en","False","","22041","Benzinga","http://www.benzinga.com"
"1821450041","2021-01-12 06:00:00","Exclusive: 28-Minute Mega Mix Of Space Yacht’s Forthcoming ‘TECH MY HOUSE’ Compilation","https://www.forbes.com/sites/lisakocay/2021/01/12/exclusive-28-minute-mega-mix-of-space-yachts-forthcoming-tech-my-house-compilation/","en","False","","1104","Forbes","http://www.forbes.com/"
"1821567311","2021-01-12 08:09:00","Bitcoin Historian Elias Ahonen Publishes 2nd Book, A 500-page 'History Of Cryptocurrency'","https://www.thestreet.com/press-releases/bitcoin-historian-elias-ahonen-publishes-2nd-book-a-500-page-history-of-cryptocurrency-15536196","en","False","","21619","The Street","http://www.thestreet.com"
"1848275854","2021-02-10 12:00:00","Crypto Conversation: No 'Masking' the Big Money Flowing Into This Crypto Art","https://www.thestreet.com/investing/cryptocurrency/crypto-conversation-no-masking-the-big-money-flowing-into-this-crypto-art","en","False","","21619","The Street","http://www.thestreet.com"
"1852377239","2021-02-15 00:10:00","French Banking Giant BNP Paribas Details Explosion Of New Crypto Sector With $250 Million Sales Volume","https://www.forbes.com/sites/ninabambysheva/2021/02/15/french-banking-giant-bnp-paribas-details-explosion-of-new-crypto-sector-with-250-million-sales-volume/","en","False","","1104","Forbes","http://www.forbes.com/"
"1853761254","2021-02-16 08:00:00","From Crypto To Christie’s: How Beeple Put Digital Art On The Map—And Then Catalyzed Its Market","https://www.forbes.com/sites/jessedamiani/2021/02/16/from-crypto-to-christies-how-beeple-put-digital-art-on-the-map-and-then-catalyzed-its-market/","en","False","","1104","Forbes","http://www.forbes.com/"
"1854377923","2021-02-16 21:25:22","The Curious Case Of Brad Pitt On Clubhouse","https://www.forbes.com/sites/jessedamiani/2021/02/16/the-curious-case-of-brad-pitt-on-clubhouse/","en","False","","1104","Forbes","http://www.forbes.com/"
"1856277390","2021-02-18 13:00:00","Nyan Cat is being sold as a one-of-a-kind piece of crypto art","https://www.theverge.com/2021/2/18/22287956/nyan-cat-crypto-art-foundation-nft-sale-chris-torres","en","False","","107634","Verge","http://theverge.com/"
"1857718800","2021-02-19 19:04:00","One-of-a-Kind Nyan Cat Gif Sold in Crypto Art Auction to Celebrate Meme's 10-Year Anniversary","https://gizmodo.com/one-of-a-kind-nyan-cat-gif-sold-in-crypto-art-auction-t-1846312536","en","False","","4469","Gizmodo","http://gizmodo.com"
"1860914238","2021-02-23 13:51:09","'Nyan Cat' flying Pop-Tart meme sells for nearly $600,000 as one-of-a-kind crypto art","https://www.businessinsider.com/ethereum-nft-meme-art-nyan-cat-sells-for-300-eth-2021-2","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1861342032","2021-02-24 00:31:23","Fintech Focus For February 24, 2021","http://feeds.benzinga.com/~r/benzinga/~3/og2AErjv3h0/fintech-focus-for-february-24-2021","en","False","","22041","Benzinga","http://www.benzinga.com"
"1862372146","2021-02-24 18:53:35","Beeple Brings Crypto to Christie’s","https://www.nytimes.com/2021/02/24/arts/design/christies-beeple-auction-blockchain-art.html","en","False","","1","New York Times","http://nytimes.com"
"1863044671","2021-02-25 08:33:04","Why people are buying crypto art and sports memorabilia for thousands of dollars","https://www.cnbc.com/2021/02/25/nfts-why-digital-art-and-sports-collectibles-are-suddenly-so-popular.html","en","False","","1755","CNBC","http://www.cnbc.com/"
"1865098132","2021-02-27 08:26:25","If you haven’t followed NFTs, here’s why you should start","https://techcrunch.com/2021/02/27/if-you-havent-followed-nfts-heres-why-you-should-start/","en","False","","4438","TechCrunch","http://techcrunch.com"
"1865673448","2021-02-28 05:00:11","Turns out selling cat memes is a purr-fect opportunity for entrepreneurs | Gene Marks","https://www.theguardian.com/business/2021/feb/28/nyan-cat-meme-sold-crypto-digital-art","en","False","","623382","Guardian","http://www.theguardian.com/us"
"1865689791","2021-02-28 05:00:11","Turns out selling cat memes is a purr-fect opportunity for entrepreneurs | Gene Marks","https://www.theguardian.com/business/2021/feb/28/nyan-cat-meme-sold-crypto-digital-art","en","False","","1751","Guardian US","https://www.theguardian.com/us"
"1865728243","2021-02-28 07:00:01","Confused About Bitcoin as I Am? Some Answers to Your Questions | Opinion","https://www.newsweek.com/confused-about-bitcoin-i-am-some-answers-your-questions-opinion-1570972","en","False","","1098","Newsweek ","http://www.newsweek.com/"
"1865727679","2021-02-28 07:00:01","Confused About Bitcoin as I Am? Some Answers to Your Questions | Opinion","https://www.newsweek.com/confused-about-bitcoin-i-am-some-answers-your-questions-opinion-1570972","en","False","","56510","Newsweek","http://newsweek.com/"
"1866011049","2021-02-28 15:01:14","Grimes Auctioning Off 10 Pieces of NFT Digital Artwork","https://www.rollingstone.com/music/music-news/grimes-nft-digital-artwork-1134516/","en","False","","5521","Rolling Stone","http://www.rollingstone.com"
"1866714921","2021-03-01 10:39:19","What Are NFTs? Is It the Future Or Just Another Crypto Fad?","https://www.ibtimes.com/what-are-nfts-it-future-or-just-another-crypto-fad-3154128?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution","en","False","","41550","IBTimes","http://www.ibtimes.com/"
"1867914617","2021-03-02 13:16:51","Musician 3LAU sells the world's first-ever crypto-albums, making $11.6 million in under 24 hours","https://www.businessinsider.com/nft-ultraviolet-3lau-first-ever-crypto-albums-sales-11-million-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1868381741","2021-03-03 01:44:10","People are paying millions for clips that can be viewed for free. Welcome to the world of ‘NFTs’","https://www.cnbc.com/2021/03/03/what-are-nfts-all-you-need-to-know-about-crypto-collectibles.html","en","False","","1755","CNBC","http://www.cnbc.com/"
"1869147300","2021-03-03 16:24:02","Chips, vaccines, and 'techno autocracies' — Why Big Tech and Biden are going to be friends","https://www.businessinsider.com/chips-vaccines-techno-autocracies-show-future-of-biden-and-tech-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1869235662","2021-03-03 19:00:01","Burned Banksy NFT Sets Art And Crypto Worlds Alight","https://www.forbes.com/sites/lawrencewintermeyer/2021/03/03/burned-banksy-nft-sets-art-and-crypto-worlds-alight/","en","False","","1104","Forbes","http://www.forbes.com/"
"1869841849","2021-03-04 09:28:00","Own The Masterpieces Of The Future As Living Paintings Of Light - Crypto Artist Olzup Offers Two Pieces Of Digital Fine Art On Rarible","https://www.thestreet.com/press-releases/own-the-masterpieces-of-the-future-as-living-paintings-of-light-crypto-artist-olzup-offers-two-pieces-of-digital-fine-art-on-rarible-15586243","en","False","","21619","The Street","http://www.thestreet.com"
"1870115416","2021-03-04 14:21:34","Mark Cuban: Crazy NFT prices 'will settle down' over time, but the tech is here to stay","https://www.cnbc.com/2021/03/04/mark-cuban-nft-pricing-will-settle-down-over-time.html","en","False","","1755","CNBC","http://www.cnbc.com/"
"1870133330","2021-03-04 14:36:54","What is cryptoart, how much does it cost and can you hang it on your wall?","https://www.theguardian.com/culture/2021/mar/05/what-is-cryptoart-how-much-does-it-cost-and-can-you-hang-it-on-your-wall","en","False","","1751","Guardian US","https://www.theguardian.com/us"
"1870145133","2021-03-04 14:36:54","What is cryptoart, how much does it cost and can you hang it on your wall?","https://www.theguardian.com/culture/2021/mar/05/what-is-cryptoart-how-much-does-it-cost-and-can-you-hang-it-on-your-wall","en","False","","623382","Guardian","http://www.theguardian.com/us"
"1870250645","2021-03-04 17:41:41","Fintech Focus For March 5, 2021","http://feeds.benzinga.com/~r/benzinga/~3/IoAW53bHocg/fintech-focus-for-march-5-2021","en","False","","22041","Benzinga","http://www.benzinga.com"
"1870319315","2021-03-04 20:13:00","Four Things Brands Need To Know About NFTs (Non-Fungible Tokens)","https://www.forbes.com/sites/cathyhackl/2021/03/04/four-things-brands-need-to-know-about-nfts-non-fungible-tokens/","en","False","","1104","Forbes","http://www.forbes.com/"
"1870496107","2021-03-04 16:15:00","A Small Choral Group Is Betting Big On Tokenizing Their Art With Blockchain","https://www.npr.org/2021/03/04/973791982/a-small-choral-group-is-betting-big-on-tokenizing-their-art-with-blockchain","en","False","","1096","NPR","http://www.npr.org/"
"1871208135","2021-03-05 16:59:31","NFT Art Isn't as Groundbreaking as It Seems","https://www.vice.com/en_us/article/4ad9ww/nft-crypto-digital-blockchain-art-explainer","en","False","","300613","VICE","http://www.vice.com/en_us"
"1871821190","2021-03-06 10:00:01","The sports trading card boom: Baseball cards selling for millions and the crypto craze hits NBA Top Shots","https://www.cnbc.com/2021/03/06/explaining-sports-trading-card-boom.html","en","False","","1755","CNBC","http://www.cnbc.com/"
"1871821445","2021-03-06 07:00:00","NFTs Are Hot. So Is Their Effect on the Earth’s Climate","https://www.wired.com/story/nfts-hot-effect-earth-climate","en","False","","39849","wired","http://www.wired.com/"
"1872381531","2021-03-07 08:50:00","NFT artists who are making millions on their creations say the craze could permanently change the traditional art world","https://www.businessinsider.com/nft-artists-make-millions-traditional-galleries-adapt-cryptoart-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1873350466","2021-03-08 12:06:16","Azealia Banks Sold a Sex Tape with Ryder Ripps on the Blockchain for $17K","https://www.vice.com/en_us/article/7k9y4b/azealia-banks-sex-tape-album-nft","en","False","","300613","VICE","http://www.vice.com/en_us"
"1873785507","2021-03-09 01:00:49","Flying cats and a burning Banksy: why are digital art prices suddenly rocketing?","https://www.theguardian.com/artanddesign/2021/mar/09/nfts-flying-cats-burning-banksy-digital-art-crypto-art-bitcoin-rocketing","en","False","","1751","Guardian US","https://www.theguardian.com/us"
"1873853835","2021-03-09 01:00:49","Flying cats and a burning Banksy: why are digital art prices suddenly rocketing?","https://www.theguardian.com/artanddesign/2021/mar/09/nfts-flying-cats-burning-banksy-digital-art-crypto-art-bitcoin-rocketing","en","False","","623382","Guardian","http://www.theguardian.com/us"
"1874461225","2021-03-09 14:58:56","Memes for sale","https://techcrunch.com/2021/03/09/memes-for-sale/","en","False","","4438","TechCrunch","http://techcrunch.com"
"1874485859","2021-03-09 14:02:04","Azealia Banks Gets Into The NFT Game — With An Audio Sex Tape","https://uproxx.com/music/azealia-banks-nft-sex-tape/","en","False","","68816","uproxx.com","http://www.uproxx.com/#spider"
"1874561746","2021-03-09 17:29:11","Taco Bell celebrated the return of potatoes to its menu with taco NFTs that sold out in minutes. Now, they're reselling for thousands of dollars.","http://feedproxy.google.com/~r/businessinsider/~3/0LLxY26Pr7A/taco-bell-potatoes-return-celebrated-with-nft-crypto-collectibles-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1874879638","2021-03-10 03:01:30","How much would you pay for a virtual sofa?","https://qz.com/1976132/nft-could-change-the-future-of-the-furniture-design-industry/","en","False","","67264","Quartz","http://qz.com/#spider"
"1875058315","2021-03-10 06:42:43","How NFTs are fueling a digital art boom","http://rss.cnn.com/~r/rss/cnn_latest/~3/rSJlm1U-wxw/index.html","en","False","","1095","CNN","http://www.cnn.com/"
"1875059537","2021-03-10 06:42:43","How NFTs are fueling a digital art boom","http://rss.cnn.com/~r/rss/cnn_latest/~3/rSJlm1U-wxw/index.html","en","False","","20088","CNN U.S. Edition","http://us.cnn.com"
"1875223835","2021-03-10 08:00:00","NFTs storm the art world. But that's just the 'tip of the iceberg'     - CNET","https://www.cnet.com/news/nfts-have-stormed-the-art-world-but-thats-just-the-tip-of-the-iceberg/#ftag=CADf328eec","en","False","","4415","CNET","http://cnet.com"
"1875340576","2021-03-10 11:22:00","Brett Arends's ROI: NFTs: Retire early, retire rich!","http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D2F520E2A189%7D&siteid=rss&rss=1","en","False","","35170","Marketwatch","https://www.marketwatch.com/"
"1875342377","2021-03-10 11:22:00","Brett Arends's ROI: NFTs: Retire early, retire rich!","http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D2F520E2A189%7D&siteid=rss&rss=1","en","False","","1150","Wall Street Journal","https://www.wsj.com/"
"1875347248","2021-03-10 09:20:00","How to Fix Crypto Art NFTs' Carbon Pollution Problem","https://earther.gizmodo.com/how-to-fix-crypto-art-nfts-carbon-pollution-problem-1846440312","en","False","","4469","Gizmodo","http://gizmodo.com"
"1875918727","2021-03-11 02:59:18","10 things in tech you need to know today","https://www.businessinsider.com/10-things-in-tech-roblox-tacobell-nft-11-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1876276090","2021-03-11 10:10:23","NFTs are both priceless and worthless","https://www.engadget.com/nft-explainer-digital-art-collectibles-blockchain-environment-business-investment-cryptocurrency-153023551.html","en","False","","41231","engadget","http://www.engadget.com/"
"1876331508","2021-03-11 11:15:47","The guy in the famous 'Bad Luck Brian' meme sold it as crypto-art for $36,000","https://www.businessinsider.com/bad-luck-brian-meme-nft-crypto-art-blockchain-ethereum-foundation-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1876373526","2021-03-11 11:39:00","Beeple Sends Crypto-Art Prices 🚀 With $69 Million NFT Sale","https://gizmodo.com/beeple-sends-crypto-art-prices-with-69-million-nft-1846454426","en","False","","4469","Gizmodo","http://gizmodo.com"
"1876548020","2021-03-11 15:05:17","How in the World Did a “Digital Artwork” Sell for $69 Million at Christie’s?","https://slate.com/technology/2021/03/beeple-auction-christies-nft-69-million-explained-why-why-why.html?via=rss","en","False","","19643","Slate.com","http://www.slate.com"
"1876608974","2021-03-11 14:48:00","Beeple JPG File Sells For $69 Million, Setting Crypto Art Record","https://www.npr.org/2021/03/11/976141522/beeple-jpg-file-sells-for-69-million-setting-crypto-art-record","en","False","","1096","NPR","http://www.npr.org/"
"1876628857","2021-03-11 18:08:31","Amazon is planning a push into podcast advertising","https://www.businessinsider.com/insiders-top-advertising-and-media-stories-for-march-12-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1877190073","2021-03-12 09:00:00","With NFTs, Musicians See a Way to Finally Take Control","https://www.vice.com/en_us/article/v7ma5d/with-nfts-musicians-see-a-way-to-finally-take-control","en","False","","300613","VICE","http://www.vice.com/en_us"
"1877233422","2021-03-12 10:00:28","Can you beat Google with Google’s brains?","https://techcrunch.com/2021/03/12/can-you-beat-google-with-googles-brains/","en","False","","4438","TechCrunch","http://techcrunch.com"
"1877274597","2021-03-12 10:37:06","Watch Beeple react to his crypto art selling for $69 million, making him the third most valuable living artist: 'I'm going to Disney World!'","https://www.businessinsider.com/beeple-response-to-nft-selling-for-69-million-reaction-video-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1877414889","2021-03-12 13:21:13","Buyer of $69 million crypto art revealed as mysterious founder of NFT fund, who says the artwork is 'worth $1 billion'","https://www.businessinsider.com/who-bought-beeple-nft-art-buyer-revealed-metakovan-metapurse-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1877598152","2021-03-12 18:03:12","Will Cryptocurrencies Transform The Broader Art World After $69.3 Million Sale? Etherium Experts Offer Insight","https://www.forbes.com/sites/natashagural/2021/03/12/will-cryptocurrencies-transform-the-broader-art-world-after-693-million-sale-etherium-experts-offer-insight/","en","False","","1104","Forbes","http://www.forbes.com/"
"1877903133","2021-03-13 05:26:01","Buyer behind $69m record-breaking art sale revealed","http://rss.cnn.com/~r/rss/cnn_latest/~3/65Q0YvRWBYg/index.html","en","False","","20088","CNN U.S. Edition","http://us.cnn.com"
"1877916518","2021-03-13 05:26:01","Buyer behind $69m record-breaking art sale revealed","http://rss.cnn.com/~r/rss/cnn_latest/~3/65Q0YvRWBYg/index.html","en","False","","1095","CNN","http://www.cnn.com/"
"1877966188","2021-03-13 05:00:23","Investment Mania: From Crypto Art to Trading Cards","https://www.nytimes.com/2021/03/13/technology/crypto-art-NFTs-trading-cards-investment-manias.html","en","False","","1","New York Times","http://nytimes.com"
"1877990066","2021-03-13 08:10:00","'It's been a motherf---ing rocket ride' : A top NFT artist who's sold over $60 million worth of crypto art breaks down how he's capitalizing on the sudden boom — and shares how he positions his own portfolio","https://www.businessinsider.com/investing-strategy-nft-outlook-crypto-art-artist-beeple-mike-winkelmann-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1878030396","2021-03-13 09:00:00","So you spent millions on an NFT. Here's what you actually bought.","http://feeds.mashable.com/~r/Mashable/~3/2i7QSS2CdoM/","en","False","","5527","Mashable!","http://mashable.com"
"1878614736","2021-03-14 08:22:00","From Paris Hilton to Christie's auction house: How NFTs went mainstream","https://www.businessinsider.com/how-nfts-went-mainstream-cryptocurrency-blockchain-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1878646805","2021-03-14 09:13:07","Selling crypto art can come with huge hidden fees, leading some people to lose hundreds","https://www.businessinsider.com/nft-investing-crypto-art-what-is-a-gas-fee-explained-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1878659736","2021-03-14 09:45:23","We bought an NFT. Here's what we learned","http://rss.cnn.com/~r/rss/cnn_latest/~3/eDImGnbBGHA/index.html","en","False","","1095","CNN","http://www.cnn.com/"
"1878676288","2021-03-14 09:45:23","We bought an NFT. Here's what we learned","http://rss.cnn.com/~r/rss/cnn_latest/~3/eDImGnbBGHA/index.html","en","False","","20088","CNN U.S. Edition","http://us.cnn.com"
"1878774297","2021-03-13 18:27:00","Creator Shuts Down Popular Crypto Art Carbon Calculator for 'Abuse and Harassment'","https://earther.gizmodo.com/creator-shuts-down-popular-crypto-art-carbon-calculator-1846472067","en","False","","4469","Gizmodo","http://gizmodo.com"
"1879290400","2021-03-15 06:51:56","10 things you need to know before the opening bell","https://www.businessinsider.com/opening-bell-march-15-2021-3","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1879389276","2021-03-15 08:58:55","Why would anyone buy crypto art – let alone spend millions on what's essentially a link to a JPEG file?","https://theconversation.com/why-would-anyone-buy-crypto-art-let-alone-spend-millions-on-whats-essentially-a-link-to-a-jpeg-file-157115","en","False","","54346","Conversation","https://theconversation.com/us"
"1879483242","2021-03-15 09:51:11","The climate controversy swirling around NFTs","https://www.theverge.com/2021/3/15/22328203/nft-cryptoart-ethereum-blockchain-climate-change","en","False","","107634","Verge","http://theverge.com/"
"1879493607","2021-03-15 10:48:04","Short-sellers have tripled bets against SPACs since the start of 2021 amid fears the blank-check frenzy has gone too far","https://markets.businessinsider.com/news/stocks/short-sellers-tripled-bets-against-spacs-this-year-bubble-fears-2021-3-1030205372","en","False","","18710","Business Insider","http://www.businessinsider.com"
"1879557669","2021-03-15 11:20:00","The Conversation: Why would anyone buy a pricey piece of crypto art, which is essentially a link to a JPEG file?","http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D30B29482F90%7D&siteid=rss&rss=1","en","False","","35170","Marketwatch","https://www.marketwatch.com/"
"1879572887","2021-03-15 11:20:00","The Conversation: Why would anyone buy a pricey piece of crypto art, which is essentially a link to a JPEG file?","http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D30B29482F90%7D&siteid=rss&rss=1","en","False","","1150","Wall Street Journal","https://www.wsj.com/"
"1879574424","2021-03-15 12:29:59","The Work of NFT Art in the Age of Blockchain Production","https://observer.com/2021/03/nft-max-osiris-foundation-art-dadaism-cryptoart/","en","False","","21091","observer.com","http://www.observer.com"
